date,Item,category,source,number,cost each,tax/shipping,total cost,used?,subsystem,
3/11/2023,"NTE Electronics WH22-06-100 Hook Up Wire, Stranded, Type 22 Gauge, 100' Length, Blue",roll,amazon,1,12.56,0,12.56,yes,battery,
4/8/2023,Skar Audio 200 Amp Nickel Plated ANL Fuses (10 Pack) - SK200A-ANL-10PK,set,amazon,1,11.99,0,11.99,no,battery,
4/15/2023,"AUSTOR 60-40 Tin Lead Rosin Core Solder Wire for Electrical Soldering (100g, 1.0mm)",roll,amazon,1,11.99,0,11.99,yes,battery,
3/22/2023,bmsplitter v1 custom pcb,part,jlcpcb,10,0.52,6.45,11.67,yes,battery,Reversed one connector on board. Caused explosion of first BMS
2/11/2023,MAIYUM 63-37 Tin Lead Rosin core solder wire for electrical soldering (1.0mm 100g),roll,amazon,1,11.59,0,11.59,yes,battery,
6/17/2023,pop rivet gun,tool,harbor freight,1,11,0,11,tool,battery,
3/9/2023,180PCS Copper Wire Lugs [4 6 8 10AWG 1/4-5/16] Battery Cable Tubular Crimp Connector SC Tinned Ring Terminals with Heat Shrink Tubing Assortment Kit,set,amazon,1,10.39,0,10.39,yes,battery,
4/12/2023,Electrical Buddy JQC 3F 73T DC 5V Coil 5 Pins Mini SPST Power Relay PCB Type 10PCS,set,amazon,1,9.99,0,9.99,yes,battery,
4/16/2023,"Taiss 580PCS JST PH Connector kit 2.0mm 2/3/4/5/6Pin Housing,Female and Male Adapter Cable Connector Plug,PH2.0mm Female Pin Connectors,JST Connector F-066-580PCS",set,amazon,1,9.99,0,9.99,yes,battery,
3/11/2023,"Connectors Pro Pc Accessories 10 Pairs DB15 Male and Female D-Sub 15P Solder Type Connector, 20-Pack (10 Male + 10 Female)",set,amazon,1,9.95,0,9.95,yes,battery,
4/22/2023,DGZZI 5Pairs GX16 4Pin Male Female Circular Aviation Connector Plug 16MM Wire Panel Metal Connector,set,amazon,1,8.99,0,8.99,no,battery,
3/11/2023,UTSAUTO Battery Terminal 5/16” M8 8mm Stud Remote Battery Binding Post Power Junction Post Connector Terminal Kit 2Pcs (Red & Black),part,amazon,1,8.87,0,8.87,st1,battery,
8/10/2023,deburring tool,tool,home depot,1,8.59,0,8.59,tool,battery,
4/12/2023,Tnisesm/6pcs DC 12V Coil SPDT PCB Relay 5 Pins Mini PCB Power Relay JQC 3FF T73-5P-12V-B,set,amazon,1,7.99,0,7.99,yes,battery,
4/22/2023,"LC LICTOP 5/16” Stud Premium Remote Battery Power Junction Post Connector Terminal Kit,Pack of 2 (8mm Red & Black)",part,amazon,1,7.99,0,7.99,no,battery,
4/21/2023," Heat Shrink Tubes, Dual Wall Heat Shrink Tubing 3:1 Ratio Heat Activated Adhesive Glue Lined Marine Shrink Tube Cable Sleeving Wrap Protector Transparent 4Ft Dia(3/8"" (9.5mm))",roll,amazon,1,7.59,0,7.59,yes,battery,
8/18/2023,another mounting turnbuckle for battery box,part,lowes,1,7.51,0,7.51,yes,battery,
4/15/2023,"KOKISO 10K 3950 Ohm NTC Thermistor Temperature Sensor Probe,1% Precision Cable Length 1M with XH2.54-2P Plug for Air Conditioner (Pack of 5)",set,amazon,1,6.99,0,6.99,yes,battery,
4/12/2023,"EDGELEC 100pcs 1K ohm Resistor 1/2w (0.5Watt) ±1% Tolerance Metal Film Fixed Resistor, Multiple Values of Resistance Optional",set,amazon,1,5.99,0,5.99,yes,battery,
4/12/2023,"(100 Pcs) 1N4001 Rectifier Diode, 50V 1A DO-41 Electronic Silicon Doorbell Diodes",set,amazon,1,4.74,0,4.74,yes,battery,
4/4/2023,copper rod for spot welding tips,tool,heights truevalue,1,4.07,0,4.07,tool,battery,
6/17/2023,radlock mounting screws,part,lowes,1,3,0,3,yes,battery,
